FacilityTypeMapID,FacilityID,FacilityTypeID,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,IsDeleted
408,283,103,101,2019-02-11 06:28:01.631071+05:30,101,2019-02-11 06:28:01.631071+05:30,t
409,284,103,101,2019-02-11 06:39:32.086042+05:30,101,2019-02-11 06:39:32.086042+05:30,t
410,285,101,101,2019-02-11 12:04:09.459116+05:30,101,2019-02-11 12:04:09.459116+05:30,f
412,286,103,101,2019-02-12 01:08:20.385963+05:30,101,2019-02-12 01:08:20.385963+05:30,f
411,285,103,101,2019-02-11 12:04:09.459116+05:30,101,2019-02-11 12:04:09.459116+05:30,t
403,280,103,101,2019-02-11 04:46:39.86005+05:30,101,2019-02-11 04:46:39.86005+05:30,t
413,287,101,101,2019-02-15 02:21:20.873941+05:30,101,2019-02-15 02:21:20.873941+05:30,f
414,287,103,101,2019-02-15 02:21:20.873941+05:30,101,2019-02-15 02:21:20.873941+05:30,t
415,288,102,101,2019-02-15 02:24:15.00811+05:30,101,2019-02-15 02:24:15.00811+05:30,f
416,288,103,101,2019-02-15 02:24:15.00811+05:30,101,2019-02-15 02:24:15.00811+05:30,t
417,289,103,101,2019-02-15 02:25:08.780296+05:30,101,2019-02-15 02:25:08.780296+05:30,f
418,290,102,101,2019-03-14 12:05:52.029757+05:30,101,2019-03-14 12:05:52.029757+05:30,f
419,290,103,101,2019-03-14 12:05:52.029757+05:30,101,2019-03-14 12:05:52.029757+05:30,t
420,291,103,101,2019-03-14 12:07:09.858159+05:30,101,2019-03-14 12:07:09.858159+05:30,f
421,292,101,101,2019-05-03 20:00:29.207589+05:30,101,2019-05-03 20:00:29.207589+05:30,f
423,293,102,101,2019-05-03 20:01:58.643916+05:30,101,2019-05-03 20:01:58.643916+05:30,f
422,292,103,101,2019-05-03 20:00:29.207589+05:30,101,2019-05-03 20:00:29.207589+05:30,t
424,293,103,101,2019-05-03 20:01:58.643916+05:30,101,2019-05-03 20:01:58.643916+05:30,t
425,294,103,101,2019-05-03 20:03:18.448356+05:30,101,2019-05-03 20:03:18.448356+05:30,f
426,295,101,101,2019-05-04 18:29:28.360334+05:30,101,2019-05-04 18:29:28.360334+05:30,f
427,295,103,101,2019-05-04 18:29:28.360334+05:30,101,2019-05-04 18:29:28.360334+05:30,t
428,296,101,101,2019-05-06 10:26:30.630914+05:30,101,2019-05-06 10:26:30.630914+05:30,f
430,297,102,101,2019-05-06 12:12:12.718961+05:30,101,2019-05-06 12:12:12.718961+05:30,f
432,298,103,101,2019-05-06 12:14:00.664316+05:30,101,2019-05-06 12:14:00.664316+05:30,f
335,242,101,101,2018-09-03 16:17:06.527197+05:30,101,2019-06-28 16:15:00.380862+05:30,t
331,240,101,101,2018-09-03 12:50:05.538893+05:30,101,2019-06-28 16:15:10.481057+05:30,t
262,199,101,101,2018-06-01 18:38:17.385757+05:30,101,2019-06-28 16:15:18.166598+05:30,t
346,248,101,101,2018-09-04 16:07:03.836261+05:30,101,2019-06-28 16:15:27.072374+05:30,t
329,239,101,101,2018-09-03 12:43:28.76976+05:30,101,2019-06-28 16:15:31.127793+05:30,t
434,299,103,101,2019-06-28 16:24:44.156165+05:30,101,2019-06-28 16:24:44.156165+05:30,t
433,299,101,101,2019-06-28 16:24:44.156165+05:30,101,2019-06-28 16:25:18.330724+05:30,t
435,300,103,101,2019-06-28 16:26:27.304767+05:30,101,2019-06-28 16:26:27.304767+05:30,t
437,301,103,101,2019-07-15 00:34:17.044161+05:30,101,2019-07-15 00:34:17.044161+05:30,t
436,301,101,101,2019-07-15 00:34:17.044161+05:30,101,2019-07-15 01:26:17.896229+05:30,t
438,302,101,101,2019-07-19 15:14:05.711174+05:30,101,2019-07-19 15:14:05.711174+05:30,f
439,302,103,101,2019-07-19 15:14:05.711174+05:30,101,2019-07-19 15:14:05.711174+05:30,t
429,296,103,101,2019-05-06 10:26:30.630914+05:30,101,2019-05-06 10:26:30.630914+05:30,t
431,297,103,101,2019-05-06 12:12:12.718961+05:30,101,2019-05-06 12:12:12.718961+05:30,t
